,AAPL,NVDA,TSLA
2013-09-27 00:00:00,0.333691971630398,0.3304620340732916,0.3358459942963641
2013-09-30 00:00:00,0.3316239862936511,0.3319723690707289,0.3364036446356112
2013-10-01 00:00:00,0.3302904982363016,0.3330768191417224,0.3366326826220302
2013-10-02 00:00:00,0.337465302057901,0.3314261428394062,0.3311085551027358
2013-10-03 00:00:00,0.339136473283177,0.338155883801841,0.3227076429150016
2013-10-04 00:00:00,0.3356162057046901,0.3361827610409248,0.328201033254441
2013-10-07 00:00:00,0.328376452975813,0.3319865165239706,0.3396370305002159
2013-10-08 00:00:00,0.3339997141474758,0.331556636596797,0.3344436492557996
2013-10-09 00:00:00,0.3354977509959172,0.336903584489464,0.3275986645146658
2013-10-10 00:00:00,0.3394228910023841,0.3326048711135098,0.3279722378841415
